ts_unix	vram_used_mib	vram_free_mib	ram_used_mib	ram_avail_mib
1776826677.637139903	590	15390	6045	104623
1776826678.661990596	590	15390	6079	104589
1776826681.789842154	849	15131	6259	104409
1776826682.813754401	15895	85	6317	104351
1776826683.841203975	15895	85	6312	104356
1776826684.864022286	15927	53	6925	103743
1776826685.902704686	15933	47	6960	103708
1776826686.933669770	15933	47	6984	103684
1776826687.975622310	15943	37	7116	103552
1776826689.007219573	15943	37	7114	103554
1776826690.037364495	15943	37	7114	103554
1776826691.065316633	15943	37	7124	103545
1776826692.091880470	15943	37	7128	103540
1776826693.119078580	15943	37	7128	103540
1776826694.147541024	15943	37	7126	103542
1776826695.175371916	15943	37	7128	103540
1776826696.208444645	15943	37	7134	103534
1776826697.244029297	15943	37	7131	103537
1776826698.318694839	15943	37	7129	103539
1776826699.355143949	15943	37	7130	103539
1776826700.393895331	15943	37	7129	103539
1776826701.424853584	15943	37	7145	103523
1776826702.451047934	15943	37	7145	103523
1776826703.475896181	15943	37	7145	103523
1776826704.505422303	15943	37	7142	103526
1776826705.553820811	15943	37	7140	103528
1776826706.579492312	15943	37	7141	103527
1776826707.606851406	15943	37	7137	103531
1776826708.636887861	15943	37	7129	103539
1776826709.663894469	15943	37	7125	103543
1776826710.687660781	15943	37	7127	103542
1776826711.713913560	15943	37	7126	103543
1776826712.739218129	15943	37	7123	103545
1776826715.581406020	15943	37	7126	103542
1776826716.613246604	15943	37	7126	103542
1776826717.636529177	15943	37	7128	103540
1776826718.662133253	15943	37	7190	103479
1776826719.689822221	15943	37	7188	103480
1776826720.718005386	15943	37	7185	103484
1776826721.746324322	15943	37	7184	103484
1776826722.770931580	15943	37	7236	103432
1776826723.825311984	15943	37	7249	103419
1776826724.852430038	15943	37	7244	103425
1776826725.879264654	15943	37	7250	103418
1776826726.904006087	15943	37	7245	103423
1776826727.935087524	15943	37	7243	103426
1776826728.976563750	15943	37	7259	103409
1776826730.005169649	15943	37	7260	103408
1776826731.030034038	15943	37	7260	103408
1776826732.058603522	15943	37	7256	103412
1776826733.084764500	15943	37	7256	103412
1776826734.121978939	15943	37	7275	103394
1776826735.163926032	15943	37	7270	103398
1776826736.201451673	15943	37	7272	103396
1776826737.235561341	15943	37	7267	103401
1776826738.264632804	15943	37	7268	103400
1776826739.292668500	15943	37	7279	103389
1776826740.318890952	15943	37	7269	103399
1776826741.345077632	15909	71	7264	103404
1776826742.372055783	15909	71	7261	103407
1776826743.413365000	15909	71	7266	103402
1776826744.438518089	15909	71	7262	103406
1776826745.478886625	15909	71	7262	103406
1776826746.514155556	15909	71	7257	103411
1776826747.553509549	15909	71	7254	103414
1776826750.273742310	15909	71	7272	103396
1776826751.298376856	15909	71	7267	103402
1776826752.337009398	15909	71	7263	103405
1776826753.362628783	15909	71	7260	103408
1776826754.387581719	15909	71	7256	103412
1776826755.416620686	15909	71	7275	103393
1776826756.451265555	15909	71	7276	103393
1776826757.485869347	15909	71	7274	103394
1776826758.512257895	15909	71	7273	103395
1776826759.548957832	15909	71	7267	103401
1776826760.573091384	15909	71	7267	103401
1776826761.605891770	15909	71	7264	103404
1776826762.633049423	15909	71	7260	103408
1776826763.665850036	15909	71	7264	103404
1776826764.700228414	15909	71	7261	103407
1776826765.725280900	15909	71	7254	103414
1776826766.757347030	15909	71	7255	103413
1776826767.784725433	15909	71	7256	103412
1776826768.809452820	15909	71	7257	103411
