2026/04/21 12:13:02.430, 11247, 4733, 83
2026/04/21 12:13:03.431, 11247, 4733, 1
2026/04/21 12:13:04.431, 11247, 4733, 1
2026/04/21 12:13:05.432, 12036, 3944, 1
2026/04/21 12:13:06.432, 12036, 3944, 0
2026/04/21 12:13:07.433, 12036, 3944, 1
2026/04/21 12:13:08.433, 12036, 3944, 0
2026/04/21 12:13:09.434, 12036, 3944, 2
2026/04/21 12:13:10.435, 12036, 3944, 0
2026/04/21 12:13:11.435, 12036, 3944, 0
2026/04/21 12:13:12.437, 12036, 3944, 0
2026/04/21 12:13:13.437, 12336, 3644, 2
2026/04/21 12:13:14.438, 2248, 13732, 1
2026/04/21 12:13:15.438, 2245, 13735, 0
2026/04/21 12:13:16.439, 2245, 13735, 0
2026/04/21 12:13:17.440, 2245, 13735, 0
2026/04/21 12:13:18.440, 13148, 2832, 2
2026/04/21 12:13:19.442, 14002, 1978, 0
2026/04/21 12:13:20.442, 15369, 611, 23
2026/04/21 12:13:21.443, 15425, 555, 29
2026/04/21 12:13:22.443, 15424, 556, 26
2026/04/21 12:13:23.444, 15687, 293, 51
2026/04/21 12:13:26.411, 15722, 258, 51
2026/04/21 12:13:27.412, 15722, 258, 54
2026/04/21 12:13:28.412, 15702, 278, 37
2026/04/21 12:13:29.413, 15668, 312, 52
2026/04/21 12:13:30.413, 15762, 218, 46
2026/04/21 12:13:31.414, 15755, 225, 64
2026/04/21 12:13:32.414, 15725, 255, 57
2026/04/21 12:13:33.415, 15719, 261, 48
2026/04/21 12:13:34.419, 15715, 265, 48
2026/04/21 12:13:35.419, 15686, 294, 51
2026/04/21 12:13:36.419, 15679, 301, 52
2026/04/21 12:13:37.420, 15679, 301, 49
2026/04/21 12:13:38.420, 15678, 302, 50
2026/04/21 12:13:39.421, 15679, 301, 49
2026/04/21 12:13:40.421, 15679, 301, 46
2026/04/21 12:13:41.422, 15674, 306, 49
2026/04/21 12:13:42.423, 15674, 306, 51
2026/04/21 12:13:43.427, 15676, 304, 52
2026/04/21 12:13:44.427, 15673, 307, 44
2026/04/21 12:13:45.428, 15673, 307, 51
2026/04/21 12:13:46.428, 15673, 307, 49
2026/04/21 12:13:47.429, 15673, 307, 47
2026/04/21 12:13:48.429, 15666, 314, 44
2026/04/21 12:13:49.430, 15664, 316, 50
2026/04/21 12:13:50.430, 15672, 308, 45
2026/04/21 12:13:51.431, 15677, 303, 48
2026/04/21 12:13:52.431, 15677, 303, 45
2026/04/21 12:13:53.432, 15681, 299, 6
2026/04/21 12:13:54.433, 15682, 298, 8
2026/04/21 12:13:55.434, 15682, 298, 9
2026/04/21 12:13:56.435, 15682, 298, 8
2026/04/21 12:13:57.436, 15676, 304, 9
2026/04/21 12:14:00.624, 15672, 308, 8
2026/04/21 12:14:01.625, 15672, 308, 6
2026/04/21 12:14:02.626, 15669, 311, 9
2026/04/21 12:14:03.627, 15690, 290, 13
2026/04/21 12:14:04.627, 15694, 286, 9
2026/04/21 12:14:05.628, 15690, 290, 8
2026/04/21 12:14:06.629, 15679, 301, 8
2026/04/21 12:14:07.630, 15696, 284, 8
2026/04/21 12:14:08.631, 15709, 271, 12
2026/04/21 12:14:09.631, 15722, 258, 8
2026/04/21 12:14:10.632, 15754, 226, 12
2026/04/21 12:14:11.633, 15755, 225, 11
2026/04/21 12:14:12.634, 15753, 227, 5
2026/04/21 12:14:13.635, 15753, 227, 5
2026/04/21 12:14:14.636, 15725, 255, 7
2026/04/21 12:14:15.637, 15725, 255, 7
2026/04/21 12:14:16.638, 15694, 286, 10
2026/04/21 12:14:17.638, 2225, 13755, 0
2026/04/21 12:14:18.639, 2225, 13755, 0
2026/04/21 12:14:19.640, 2225, 13755, 0
2026/04/21 12:14:20.641, 2745, 13235, 8
2026/04/21 12:14:21.641, 2745, 13235, 0
2026/04/21 12:14:22.642, 2745, 13235, 0
2026/04/21 12:14:23.643, 2745, 13235, 0
2026/04/21 12:14:24.643, 2745, 13235, 0
2026/04/21 12:14:25.646, 2745, 13235, 0
2026/04/21 12:14:26.646, 2746, 13234, 3
2026/04/21 12:14:27.647, 2757, 13223, 0
2026/04/21 12:14:28.647, 2752, 13228, 0
2026/04/21 12:14:29.648, 2752, 13228, 0
