ts_unix	vram_used_mib	vram_free_mib	ram_used_mib	ram_avail_mib
1776826177.386914231	2593	13387	6011	104657
1776826178.410046427	2593	13387	6082	104587
1776826179.461049427	2852	13128	6474	104194
1776826180.484782931	2852	13128	7123	103545
1776826181.510150067	4740	11240	7574	103094
1776826182.537749434	5024	10956	7581	103087
1776826183.579456895	5074	10906	7755	102913
1776826184.625836674	5074	10906	7756	102912
1776826185.654960499	5080	10900	7760	102908
1776826186.691673034	5082	10898	7761	102907
1776826187.721326883	5082	10898	7757	102911
1776826188.757322724	5082	10898	7759	102909
1776826189.785243765	5082	10898	7756	102912
1776826190.813270291	5082	10898	7753	102915
1776826191.840244818	5084	10896	7749	102919
1776826192.868223269	5084	10896	7761	102907
1776826193.903542762	5092	10888	7773	102895
1776826194.933260309	5098	10882	7771	102897
1776826195.969872235	5098	10882	7836	102832
1776826196.999371643	5098	10882	7835	102833
1776826198.028907567	5098	10882	7895	102773
1776826199.070499756	5098	10882	7900	102768
1776826200.122421290	5098	10882	7898	102770
1776826201.162662339	5098	10882	7896	102772
1776826202.208058539	5098	10882	7896	102772
1776826204.995637891	5098	10882	7932	102736
1776826206.037442422	5098	10882	8183	102485
1776826207.078424592	5098	10882	8184	102485
1776826208.120564072	5098	10882	7902	102766
1776826209.162671888	5098	10882	7902	102766
1776826210.209162253	5098	10882	7897	102771
1776826211.256187171	5098	10882	7916	102752
1776826212.296280600	5098	10882	7912	102756
1776826213.338660227	5098	10882	7910	102758
1776826214.385149704	5098	10882	7910	102758
1776826215.425931375	5098	10882	7925	102743
1776826216.466842485	5098	10882	7930	102738
1776826217.508560496	5098	10882	7927	102742
1776826218.550395972	5098	10882	7921	102747
1776826219.594984081	5098	10882	7918	102750
1776826220.640550095	5098	10882	7920	102749
1776826221.678919325	5098	10882	7911	102757
1776826222.720339789	5098	10882	7908	102760
1776826223.759043107	5098	10882	7907	102761
1776826224.799423789	5098	10882	7914	102755
1776826225.842329742	5098	10882	7923	102745
1776826226.882736237	5098	10882	7921	102747
1776826227.928999155	5098	10882	7920	102749
1776826228.974323583	5098	10882	7920	102749
1776826230.016776009	5098	10882	7920	102748
1776826231.053603838	5098	10882	7932	102736
1776826232.098398365	5098	10882	7927	102741
1776826233.141227602	5098	10882	7923	102745
1776826234.188408497	5098	10882	7922	102746
1776826235.232037819	5098	10882	7914	102754
1776826236.274555738	5098	10882	7906	102762
1776826239.066893439	5098	10882	7906	102762
1776826240.115224135	5098	10882	7902	102766
1776826241.159230525	5098	10882	7902	102766
1776826242.203370328	5098	10882	7903	102765
1776826243.245958056	5098	10882	7919	102749
1776826244.291291968	5098	10882	7920	102748
1776826245.333792307	5098	10882	7916	102752
1776826246.381834309	5098	10882	7916	102752
1776826247.429799899	5098	10882	7913	102755
1776826248.477104417	5098	10882	7924	102744
1776826249.526811838	5098	10882	7921	102747
1776826250.571551220	5098	10882	7920	102749
1776826251.614468410	5098	10882	7920	102748
1776826252.655583115	5098	10882	7918	102750
1776826253.698572020	5098	10882	7917	102751
1776826254.740003930	5098	10882	7915	102753
1776826255.779873543	5098	10882	7916	102753
1776826256.821795786	5098	10882	7914	102754
1776826257.868159461	5098	10882	7922	102746
1776826258.911960394	5098	10882	7923	102746
1776826259.957563002	5098	10882	7917	102752
1776826260.998170041	5098	10882	7909	102759
1776826262.042798051	5098	10882	7903	102765
1776826263.085539836	5098	10882	7924	102744
1776826264.126841669	5098	10882	7918	102750
1776826265.168448263	5098	10882	7918	102750
1776826266.213573961	5098	10882	7925	102743
1776826267.254108797	5098	10882	7914	102754
1776826268.294177751	5098	10882	7929	102740
1776826269.335733832	5098	10882	7925	102743
1776826270.381647478	5098	10882	7921	102747
1776826273.173425765	5098	10882	7922	102746
1776826274.220531954	5098	10882	7918	102750
1776826275.268523706	5098	10882	7928	102740
1776826276.309670818	5098	10882	7923	102745
1776826277.352035135	5098	10882	7925	102743
1776826278.393871400	5098	10882	7925	102743
1776826279.436340070	5098	10882	7924	102745
1776826280.481915202	5098	10882	7916	102752
1776826281.524849067	5098	10882	7914	102754
1776826282.562798180	5098	10882	7915	102753
1776826283.600851957	5098	10882	7914	102754
1776826284.643905775	5098	10882	7915	102753
1776826285.688892466	5098	10882	7921	102747
1776826286.733278974	5098	10882	7920	102748
1776826287.775938493	5098	10882	7919	102749
1776826288.819575881	5098	10882	7917	102751
1776826289.859945658	5098	10882	7913	102755
1776826290.903002850	5098	10882	7925	102743
1776826291.947172381	5098	10882	7921	102747
1776826292.995349940	5098	10882	7920	102748
1776826294.039019063	5098	10882	7921	102747
1776826295.080557091	5098	10882	7923	102745
1776826296.119293225	5098	10882	7925	102743
1776826297.159031602	5098	10882	7919	102749
1776826298.196715006	5098	10882	7919	102749
1776826299.243386088	5098	10882	7919	102749
1776826300.291067571	5098	10882	7922	102746
1776826301.334926347	5098	10882	7921	102747
1776826302.380694881	5098	10882	7921	102747
1776826303.424604999	5098	10882	7919	102749
1776826304.475986167	5098	10882	7919	102749
1776826307.272219762	5098	10882	7929	102740
1776826308.313431408	5098	10882	7930	102738
1776826309.360818622	5098	10882	7931	102738
1776826310.406239548	5098	10882	7928	102740
1776826311.450097690	5098	10882	7928	102740
1776826312.497090639	5098	10882	7938	102730
1776826313.542511855	5098	10882	7928	102740
1776826314.582361260	5098	10882	7922	102746
1776826315.629429611	5098	10882	7919	102749
1776826316.667979473	5098	10882	7919	102749
1776826317.713915905	5098	10882	7929	102739
1776826318.758177266	5098	10882	7926	102743
1776826319.801993083	5098	10882	7918	102750
1776826320.845676533	5098	10882	7917	102751
1776826321.898494913	5098	10882	7914	102754
1776826322.946631994	5098	10882	7933	102736
1776826323.992336351	5098	10882	7932	102736
1776826325.033430462	5098	10882	7925	102743
1776826326.077959496	5098	10882	7920	102748
1776826327.128786176	5098	10882	7920	102748
1776826328.173730679	5098	10882	7911	102757
1776826329.213569723	5098	10882	7912	102757
1776826330.256225428	5098	10882	7911	102757
