ts_unix	vram_used_mib	vram_free_mib	ram_used_mib	ram_avail_mib
1776826013.820513541	2593	13387	6055	104613
1776826014.849627921	2593	13387	6086	104582
1776826015.874565333	2852	13128	6267	104401
1776826016.897006946	6364	9616	6694	103974
1776826017.942512587	7512	8468	6746	103922
1776826018.972495204	7514	8466	6777	103891
1776826020.012301228	7528	8452	6884	103784
1776826021.052162116	7528	8452	6884	103784
1776826022.128093488	7528	8452	6884	103784
1776826023.163041463	7528	8452	6880	103788
1776826024.190171898	7528	8452	6878	103790
1776826025.218881687	7528	8452	6873	103795
1776826026.245758256	7530	8450	6869	103799
1776826027.274396980	7530	8450	6894	103775
1776826028.301816955	7534	8446	6891	103778
1776826029.332100322	7534	8446	6949	103719
1776826030.361573645	7534	8446	7015	103653
1776826031.401059578	7534	8446	7013	103655
1776826034.284682381	7534	8446	7012	103656
1776826035.323742231	7534	8446	7019	103649
1776826036.363792713	7534	8446	7020	103648
1776826037.405119234	7534	8446	7018	103650
1776826038.444160206	7534	8446	7018	103650
1776826039.486115896	7534	8446	7029	103639
1776826040.528078733	7534	8446	7026	103642
1776826041.564469549	7534	8446	7028	103641
1776826042.601678575	7534	8446	7022	103647
1776826043.643299005	7534	8446	7017	103651
1776826044.679485901	7534	8446	7021	103647
1776826045.715889262	7534	8446	7021	103647
1776826046.754638795	7534	8446	7016	103652
1776826047.792048452	7534	8446	7017	103651
1776826048.832461798	7534	8446	7017	103652
1776826049.871564249	7534	8446	7013	103655
1776826050.912289118	7534	8446	7010	103658
1776826051.948239126	7534	8446	7009	103659
1776826052.987703106	7534	8446	7009	103659
1776826054.025242024	7534	8446	7009	103659
1776826055.064601472	7534	8446	6998	103670
1776826056.100056191	7534	8446	6994	103674
1776826057.138086597	7534	8446	6990	103678
1776826058.176345342	7534	8446	6990	103678
1776826059.218269494	7534	8446	6992	103676
1776826060.257754690	7534	8446	7002	103666
1776826061.297948590	7534	8446	6999	103669
1776826062.337868126	7534	8446	6999	103669
1776826063.379315929	7534	8446	6996	103672
1776826064.420348587	7534	8446	6997	103671
1776826065.457962294	7534	8446	6999	103669
1776826068.236015059	7534	8446	6999	103669
1776826069.275387628	7534	8446	6996	103672
1776826070.312475180	7534	8446	6995	103673
1776826071.355035137	7534	8446	7000	103668
1776826072.394547687	7534	8446	7014	103654
1776826073.433583963	7534	8446	7012	103656
1776826074.468757685	7534	8446	7003	103665
1776826075.511354304	7534	8446	7004	103664
1776826076.545734367	7534	8446	7014	103654
1776826077.593898798	7534	8446	7017	103651
1776826078.632452269	7534	8446	7012	103656
1776826079.671753643	7534	8446	7012	103656
1776826080.712360783	7534	8446	7013	103655
1776826081.753980034	7534	8446	7012	103656
1776826082.794863449	7534	8446	7009	103659
1776826083.834454800	7534	8446	7006	103662
1776826084.870812442	7534	8446	7006	103662
1776826085.910529232	7534	8446	7006	103662
1776826086.945050319	7534	8446	7027	103641
1776826087.983021370	7534	8446	7019	103649
1776826089.019760760	7534	8446	7016	103652
1776826090.057639719	7534	8446	7016	103652
1776826091.103780651	7534	8446	7014	103654
1776826092.141110225	7534	8446	7017	103651
1776826093.183181304	7534	8446	7016	103652
1776826094.221165930	7534	8446	7012	103656
1776826095.257943848	7534	8446	7011	103657
1776826096.298575551	7534	8446	7011	103657
1776826097.340083506	7534	8446	7017	103651
1776826098.379432999	7534	8446	7015	103653
