ts_unix	vram_used_mib	vram_free_mib	ram_used_mib	ram_avail_mib
1776826497.844027909	15940	40	7254	103414
1776826498.871272757	15940	40	7379	103289
1776826499.901192395	15940	40	7553	103115
1776826500.929511962	15903	77	7263	103405
1776826501.969274675	15903	77	7268	103401
1776826502.995234435	15903	77	7268	103400
1776826504.021878037	15903	77	7285	103383
1776826505.057570686	15903	77	7267	103401
1776826506.096142727	15903	77	7267	103402
1776826507.133009973	15903	77	7263	103405
1776826508.158899822	15903	77	7260	103408
1776826509.185828652	15903	77	7279	103389
1776826511.998712415	15903	77	7275	103393
1776826513.025222525	15903	77	7276	103392
1776826514.051256417	15903	77	7274	103394
1776826515.118448004	15903	77	7337	103331
1776826516.201648912	15905	75	7346	103322
1776826517.230831419	15905	75	7347	103321
1776826518.261802483	15905	75	7348	103320
1776826519.288890368	15905	75	7416	103252
1776826520.329535707	15905	75	7410	103258
1776826521.355744400	15905	75	7428	103240
1776826522.390703765	15905	75	7427	103241
1776826523.423890932	15905	75	7426	103242
1776826524.458641477	15905	75	7419	103249
1776826525.484806249	15905	75	7424	103245
1776826526.522880240	15905	75	7425	103243
1776826527.547167971	15905	75	7421	103248
1776826528.582035532	15905	75	7418	103250
1776826529.606790954	15905	75	7426	103242
1776826530.632937783	15905	75	7427	103241
1776826531.657775771	15905	75	7423	103245
1776826532.685717974	15905	75	7422	103246
1776826533.729281922	15905	75	7424	103244
1776826534.760424973	15905	75	7425	103243
1776826535.786033943	15905	75	7424	103244
1776826536.821654638	15905	75	7422	103246
1776826537.846803254	15905	75	7418	103251
1776826538.882383530	15905	75	7415	103253
1776826539.920815384	15905	75	7413	103255
1776826540.947847027	15905	75	7433	103236
1776826541.976424122	15905	75	7432	103236
1776826543.003484218	15905	75	7433	103235
1776826545.973349402	15905	75	7430	103238
1776826547.015510625	15905	75	7423	103245
1776826548.049990138	15905	75	7422	103246
1776826549.085522941	15905	75	7417	103252
1776826550.113803461	15905	75	7413	103255
1776826551.139674150	15905	75	7412	103256
1776826552.165984929	15905	75	7412	103257
1776826553.191719610	15905	75	7428	103240
1776826554.217755956	15905	75	7423	103245
1776826555.242881647	15905	75	7425	103243
1776826556.269752245	15905	75	7429	103239
1776826557.306987058	15905	75	7424	103244
1776826558.357825993	15905	75	7413	103256
1776826559.382953508	15905	75	7409	103259
1776826560.408163072	15905	75	7407	103261
1776826561.446113994	15905	75	7407	103261
1776826562.476813040	15905	75	7407	103261
1776826563.501357070	15905	75	7419	103249
1776826564.526996543	15905	75	7421	103247
1776826565.552821760	15905	75	7421	103247
1776826566.576338601	15905	75	7416	103252
1776826567.602428486	15905	75	7614	103054
1776826568.636812539	15905	75	7541	103127
1776826569.664048678	15905	75	7541	103127
1776826570.689122528	15905	75	7542	103126
1776826571.716709371	15905	75	7539	103129
1776826572.742900533	15905	75	7539	103129
1776826573.775907607	15905	75	7548	103120
1776826574.802194810	15905	75	7547	103121
1776826575.829419124	15905	75	7546	103122
1776826576.871380000	15905	75	7542	103126
1776826579.616768226	15905	75	7542	103126
1776826580.640857837	15905	75	7547	103121
1776826581.693042298	15905	75	7550	103118
1776826582.718078509	15905	75	7551	103117
1776826583.747780787	15905	75	7547	103121
1776826584.785973955	15905	75	7547	103121
1776826585.813568094	15905	75	7548	103120
1776826586.840222770	15905	75	7543	103125
1776826587.864703521	15905	75	7545	103124
1776826588.897423566	15905	75	7540	103129
1776826589.921659317	15905	75	7547	103121
1776826590.945886656	15905	75	7538	103130
1776826591.972890808	15905	75	7534	103134
1776826593.009410003	15905	75	7533	103136
1776826594.034429690	15905	75	7532	103136
1776826595.061373533	15905	75	7550	103118
1776826596.086975753	15905	75	7549	103120
1776826597.140290978	15905	75	7546	103122
1776826598.185836979	15905	75	7545	103123
1776826599.215122156	15905	75	7546	103122
1776826600.240691832	15905	75	7557	103111
1776826601.266735198	15905	75	7549	103119
1776826602.293723104	15905	75	7550	103118
1776826603.319863515	15905	75	7549	103119
1776826604.345940555	15905	75	7543	103125
1776826605.378367349	15905	75	7565	103104
1776826606.408433715	15905	75	7559	103109
1776826607.435224495	15905	75	7560	103108
1776826608.477419137	15905	75	7549	103119
1776826609.502793907	15905	75	7547	103121
1776826610.529668101	15905	75	7553	103115
1776826613.170842168	15905	75	7551	103117
1776826614.197087910	15905	75	7550	103118
1776826615.225751512	15905	75	7550	103118
1776826616.251733804	15905	75	7546	103122
1776826617.283735283	15905	75	7551	103117
1776826618.310341748	15905	75	7546	103122
1776826619.350397383	15905	75	7547	103121
1776826620.379307357	15905	75	7747	102921
1776826621.461748039	15907	73	7664	103004
1776826622.501354375	15907	73	7675	102993
1776826623.526929770	15907	73	7674	102994
1776826624.585313015	15907	73	7674	102994
1776826625.611725556	15907	73	7671	102997
1776826626.642885056	15907	73	7671	102997
1776826627.680880243	15907	73	7672	102996
1776826628.708018186	15907	73	7668	103000
1776826629.734534998	15907	73	7673	102995
1776826630.760867460	15907	73	7674	102994
1776826631.786531090	15907	73	7672	102996
1776826632.818451769	15907	73	7678	102990
1776826633.858573175	15907	73	7672	102997
1776826634.882420843	15907	73	7668	103000
1776826635.908467692	15907	73	7668	103000
1776826636.933652647	15907	73	7674	102994
1776826637.965001499	15907	73	7670	102998
1776826639.005097448	15907	73	7668	103000
1776826640.029369569	15907	73	7670	102998
1776826641.054862586	15907	73	7663	103005
1776826642.083093885	15907	73	7684	102984
1776826643.123604275	15907	73	7683	102985
1776826644.149400244	15907	73	7680	102988
1776826645.175026093	15907	73	7681	102987
1776826647.609794499	15907	73	7679	102989
1776826648.635176518	15907	73	7687	102981
1776826649.662624806	15907	73	7685	102983
1776826650.688170165	15907	73	7681	102988
1776826651.757518196	15907	73	7684	102984
1776826652.786284003	15907	73	7684	102984
1776826653.811986049	15907	73	7689	102979
1776826654.836152861	15907	73	7683	102986
1776826655.861456872	15907	73	7675	102993
1776826656.890043221	15907	73	7674	102994
1776826657.932505674	15907	73	7673	102995
1776826658.971766162	15907	73	7683	102985
1776826659.997773553	15907	73	7682	102986
1776826661.022460943	15907	73	7685	102983
1776826662.045886360	15907	73	7682	102986
1776826663.070593898	15907	73	7682	102986
1776826664.095248416	15907	73	7695	102973
1776826665.122567829	15907	73	7685	102983
1776826666.150869267	15907	73	7684	102984
1776826667.177473470	15907	73	7677	102991
1776826668.219769446	15907	73	7684	102984
1776826669.244364091	15907	73	7691	102977
1776826670.286271284	15907	73	7682	102987
1776826671.311687425	15907	73	7676	102992
1776826672.340093941	15907	73	7677	102991
1776826673.378397928	15907	73	7676	102992
1776826674.417389060	15907	73	7671	102997
1776826675.457686829	15907	73	7667	103001
1776826676.493058085	15907	73	7666	103002
