2026/04/21 14:40:59.687, 15360, 620, 7
2026/04/21 14:41:00.709, 15360, 620, 0
2026/04/21 14:41:01.740, 15360, 620, 0
2026/04/21 14:41:02.771, 2210, 13770, 1
2026/04/21 14:41:03.792, 2210, 13770, 0
2026/04/21 14:41:04.810, 2210, 13770, 0
2026/04/21 14:41:05.824, 2728, 13252, 9
2026/04/21 14:41:06.834, 2728, 13252, 0
2026/04/21 14:41:07.843, 2728, 13252, 0
2026/04/21 14:41:08.849, 2728, 13252, 0
2026/04/21 14:41:09.859, 2728, 13252, 0
2026/04/21 14:41:10.862, 3027, 12953, 3
2026/04/21 14:41:11.863, 2240, 13740, 0
2026/04/21 14:41:12.863, 2240, 13740, 0
2026/04/21 14:41:13.864, 13530, 2450, 0
2026/04/21 14:41:14.864, 15354, 626, 0
2026/04/21 14:41:15.868, 15354, 626, 26
2026/04/21 14:41:16.868, 15354, 626, 27
2026/04/21 14:41:17.869, 15354, 626, 29
2026/04/21 14:41:18.869, 15625, 355, 50
2026/04/21 14:41:19.870, 15625, 355, 59
2026/04/21 14:41:20.871, 15625, 355, 57
2026/04/21 14:41:21.872, 15625, 355, 51
2026/04/21 14:41:22.872, 15625, 355, 46
2026/04/21 14:41:23.873, 15625, 355, 50
2026/04/21 14:41:24.874, 15625, 355, 46
2026/04/21 14:41:25.874, 15625, 355, 49
2026/04/21 14:41:26.875, 15625, 355, 50
2026/04/21 14:41:27.875, 15625, 355, 52
2026/04/21 14:41:28.876, 15625, 355, 48
2026/04/21 14:41:29.877, 15625, 355, 52
2026/04/21 14:41:30.877, 15625, 355, 53
2026/04/21 14:41:31.878, 15625, 355, 38
2026/04/21 14:41:32.878, 15625, 355, 47
2026/04/21 14:41:33.908, 15625, 355, 49
2026/04/21 14:41:34.939, 15625, 355, 50
2026/04/21 14:41:35.968, 15625, 355, 44
2026/04/21 14:41:36.989, 15625, 355, 50
2026/04/21 14:41:38.006, 15625, 355, 55
2026/04/21 14:41:39.020, 15625, 355, 60
2026/04/21 14:41:40.032, 15625, 355, 57
2026/04/21 14:41:41.040, 15625, 355, 56
2026/04/21 14:41:42.048, 15625, 355, 60
2026/04/21 14:41:43.052, 15625, 355, 55
2026/04/21 14:41:44.054, 15625, 355, 50
2026/04/21 14:41:45.055, 15625, 355, 56
2026/04/21 14:41:46.056, 15631, 349, 6
2026/04/21 14:41:47.056, 15631, 349, 4
2026/04/21 14:41:48.057, 15631, 349, 5
2026/04/21 14:41:49.058, 15631, 349, 5
2026/04/21 14:41:50.059, 15631, 349, 7
2026/04/21 14:41:51.059, 15631, 349, 5
2026/04/21 14:41:52.061, 15631, 349, 7
2026/04/21 14:41:53.062, 15631, 349, 5
2026/04/21 14:41:54.063, 15631, 349, 5
2026/04/21 14:41:55.064, 15631, 349, 5
2026/04/21 14:41:56.064, 15631, 349, 5
2026/04/21 14:41:57.066, 15631, 349, 7
2026/04/21 14:41:58.066, 15631, 349, 5
