ts_unix	vram_used_mib	vram_free_mib	ram_used_mib	ram_avail_mib
1776825935.092070170	2593	13387	6089	104579
1776825936.121391178	2593	13387	6130	104538
1776825937.145380723	2852	13128	6296	104372
1776825938.168389757	6336	9644	6711	103957
1776825939.205166546	7508	8472	6757	103911
1776825940.246759094	7514	8466	6792	103877
1776825941.287169105	7528	8452	6910	103758
1776825942.313135155	7528	8452	6907	103761
1776825943.372152590	7528	8452	6917	103751
1776825944.398413637	7528	8452	6916	103752
1776825945.427089113	7528	8452	6912	103756
1776825946.451408397	7528	8452	6902	103766
1776825947.478334180	7530	8450	6890	103778
1776825948.509545023	7530	8450	6908	103760
1776825949.539754363	7534	8446	6904	103764
1776825950.569663966	7534	8446	6956	103712
1776825951.600407922	7534	8446	7020	103648
1776825952.641679133	7534	8446	7022	103646
1776825953.682260942	7534	8446	7018	103650
1776825954.722636245	7534	8446	7020	103648
1776825955.763328422	7534	8446	7020	103648
1776825956.802991403	7534	8446	7021	103648
1776825957.840756011	7534	8446	7027	103641
1776825958.881141349	7534	8446	7027	103641
1776825959.921736656	7534	8446	7028	103640
1776825960.958515584	7534	8446	7023	103645
1776825961.998166092	7534	8446	7022	103646
1776825963.036366796	7534	8446	7035	103633
1776825964.076371696	7534	8446	7030	103638
1776825966.889836568	7534	8446	7027	103641
1776825967.931606984	7534	8446	7026	103642
1776825968.972086823	7534	8446	7026	103642
1776825970.021121893	7536	8444	7092	103577
1776825971.092685472	7536	8444	7160	103508
1776825972.134355751	7536	8444	7168	103500
1776825973.176491029	7536	8444	7164	103504
1776825974.217325687	7536	8444	7164	103504
1776825975.253283491	7536	8444	7173	103495
1776825976.294947959	7536	8444	7169	103499
1776825977.332673783	7536	8444	7160	103508
1776825978.368541611	7536	8444	7157	103511
1776825979.407346599	7536	8444	7155	103513
1776825980.449751030	7536	8444	7160	103508
1776825981.490778091	7536	8444	7157	103511
1776825982.524129539	7536	8444	7153	103515
1776825983.559589926	7536	8444	7153	103515
1776825984.595980889	7536	8444	7153	103515
1776825985.633922708	7536	8444	7372	103296
1776825986.672500127	7536	8444	7300	103368
1776825987.712304481	7536	8444	7302	103366
1776825988.748381554	7536	8444	7301	103367
1776825989.791085351	7536	8444	7292	103376
1776825990.826515134	7536	8444	7303	103365
1776825991.868600637	7536	8444	7297	103372
1776825992.910547794	7536	8444	7297	103371
1776825993.955446058	7536	8444	7291	103378
1776825994.995430637	7536	8444	7296	103372
1776825996.033020256	7536	8444	7295	103373
1776825997.073801454	7536	8444	7296	103372
1776825998.112530994	7536	8444	7293	103375
1776826001.033443380	7536	8444	7294	103374
1776826002.071729141	7536	8444	7499	103170
1776826003.112682051	7536	8444	7410	103258
1776826004.154705334	7536	8444	7417	103251
1776826005.195379178	7536	8444	7441	103227
1776826006.234169989	7536	8444	7620	103048
1776826007.272078463	7536	8444	7688	102980
1776826008.318432602	7536	8444	7405	103263
1776826009.358308116	7536	8444	7409	103259
1776826010.394296204	7536	8444	7411	103257
1776826011.433672782	7536	8444	7412	103256
1776826012.474438117	7536	8444	7431	103237
